1;3652.00;9.50;1095.00;big
1;5014.00;9.50;938.00;big
2;1709.00;9.50;1825.00;big
2;1522.00;9.50;1961.00;big
3;1988.00;9.50;1855.00;big
3;2302.00;9.50;1953.00;big
4;2552.00;9.50;1881.00;big
4;2850.00;9.50;1901.00;big
5;2951.00;9.50;1559.00;big
5;2725.00;9.50;1717.00;big
6;2510.00;9.50;1549.00;big
6;2311.00;9.50;1646.00;big
7;2544.00;9.50;1315.00;big
7;2381.00;9.50;1312.00;big
8;2955.00;9.50;1280.00;big
8;2763.00;9.50;1367.00;big
9;2645.00;9.50;1099.00;big
9;2793.00;9.50;1127.00;big
10;2947.00;9.50;839.00;big
10;2984.00;9.50;1063.00;big
11;2938.00;9.50;560.00;big
11;2817.00;9.50;623.00;big
12;2748.00;9.50;424.00;big
12;2965.00;9.50;329.00;big
13;2566.00;9.50;573.00;big
13;2699.00;9.50;481.00;big
14;2747.00;9.50;896.00;big
14;2586.00;9.50;791.00;big
15;2395.00;9.50;964.00;big
15;2559.00;9.50;984.00;big
16;2288.00;9.50;908.00;big
16;2333.00;9.50;734.00;big
17;2314.00;9.50;637.00;big
17;2164.00;9.50;590.00;big
18;1724.00;9.50;125.00;big
18;2039.00;9.50;112.00;big
19;2317.00;9.50;28.00;big
19;2223.00;9.50;34.00;big
20;2592.00;9.50;182.00;big
20;2471.00;9.50;128.00;big
21;2982.00;9.50;126.00;big
21;2740.00;9.50;205.00;big
22;262.24;9.50;173.18;big
22;331.00;9.50;118.00;big
23;67.00;9.50;159.00;big
23;47.00;9.50;202.00;big
24;787.00;9.50;185.00;big
24;564.00;9.50;176.00;big
25;894.00;9.50;266.00;big
25;1076.00;9.50;209.00;big
26;1249.00;9.50;249.00;big
26;1355.00;9.50;214.00;big
27;1470.00;9.50;286.00;big
27;1459.00;9.50;200.00;big
28;1073.00;9.50;39.00;big
28;1214.00;9.50;71.00;big
29;1560.00;9.50;29.00;big
29;1399.00;9.50;23.00;big
30;3072.00;9.50;1023.00;big
30;3072.00;9.50;1023.00;big
31;1.00;9.50;1023.00;big
31;1.00;9.50;1023.00;big
32;116.00;10.00;115.00;big
32;116.00;10.00;115.00;big
33;52.00;10.20;179.00;big
33;52.00;10.20;179.00;big
34;116.00;10.00;179.00;big
34;116.00;10.00;179.00;big
35;180.00;10.00;179.00;big
35;180.00;10.00;179.00;big
36;52.00;10.00;115.00;big
36;52.00;10.00;115.00;big
37;116.00;10.00;115.00;big
37;116.00;10.00;115.00;big
38;180.00;9.98;115.00;big
38;180.00;9.98;115.00;big
39;52.00;10.20;51.00;big
39;52.00;10.20;51.00;big
40;116.00;10.20;51.00;big
40;116.00;10.20;51.00;big
41;180.00;10.00;51.00;big
41;180.00;10.00;51.00;big
42;342.00;9.50;402.00;big
42;113.00;9.50;454.00;big
43;313.00;9.50;676.00;big
43;555.00;9.50;630.00;big
44;764.00;9.50;886.00;big
44;637.00;9.50;847.00;big
45;452.00;9.50;947.00;big
45;317.00;9.50;982.00;big
46;80.00;9.50;873.00;big
46;127.00;9.50;1113.00;big
47;485.00;9.50;1122.00;big
47;491.00;9.50;1389.00;big
48;669.00;9.50;1510.00;big
48;698.00;9.50;1337.00;big
49;66.00;9.50;1280.00;big
49;265.00;9.50;1315.00;big
50;741.00;9.50;1718.00;big
50;842.00;9.50;1736.00;big
51;556.00;9.50;1723.00;big
51;453.00;9.50;1610.00;big
52;127.00;9.50;1635.00;big
52;205.00;9.50;1525.00;big
53;206.00;9.50;1883.00;big
53;87.00;9.50;1980.00;big
54;447.00;9.50;1992.00;big
54;676.00;9.50;1928.00;big
55;1375.00;9.50;1341.00;big
55;1238.00;9.50;1232.00;big
56;1208.00;9.50;1413.00;big
56;1098.00;9.50;1330.00;big
57;1364.00;9.50;1768.00;big
57;1328.00;9.50;1632.00;big
58;1109.00;9.50;1548.00;big
58;928.00;9.50;1581.00;big
59;1184.00;9.50;1856.00;big
59;1244.00;9.50;1931.00;big
60;937.00;9.50;2006.00;big
60;923.00;9.50;1803.00;big
61;488.00;13.35;1819.00;big
61;371.00;13.53;1769.00;big
61;399.23;10.20;1728.05;big
61;497.95;10.70;1758.95;big
61;373.96;10.50;1829.13;big
61;444.50;15.70;1805.72;big
61;499.50;11.20;1859.45;big
61;233.70;10.00;1677.66;big
62;163.00;10.00;1546.00;big
62;161.63;15.50;1376.92;big
62;154.36;16.70;1517.22;big
62;185.78;10.00;1325.81;big
63;1352.00;9.90;164.00;big
63;1162.00;16.35;187.00;big
63;1032.33;11.40;154.15;big
63;1463.60;10.00;223.59;big
63;1175.34;9.90;110.86;big
63;1175.05;10.00;280.42;big
63;1120.87;10.00;265.75;big
63;1413.16;9.90;215.13;big
64;2802.00;9.93;751.00;big
64;2759.00;9.90;615.00;big
64;2749.80;10.00;537.20;big
